attempt,stop_addr,stop_fn,delay,target,bitflip,code,seed
288,0x0800d08e,prvCheckTasksWaitingTermination_dup,0.671,0x2000aa5a,64,-1,3735928559
289,0x0801bdd8,vTaskPrioritySet_dup,0.543,0x20002640,2,1,3735928559
290,0x08011578,RandomInteger_ret_dup,0.573,0x200044ff,1,0,3735928559
291,0x08003098,prvIdleTask,0.204,0x200057d0,2,0,3735928559
292,0x0800d0a6,prvCheckTasksWaitingTermination_dup,0.916,0x20005691,32,0,3735928559
293,0x080030fc,prvIdleTask,0.314,0x2000010b,64,1,3735928559
294,0x0800414c,prvInsertTimerInActiveList_ret_dup,0.569,0x200093bb,128,0,3735928559
295,0x080030be,prvIdleTask,0.148,0x20000298,64,1,3735928559
296,0x0801dbd8,SysTick_Handler,0.707,0x20002dc2,2,0,3735928559
297,0x08002c2a,vTaskSwitchContext,0.282,0x20004740,8,0,3735928559
298,0x080030f8,prvIdleTask,0.323,0x2000cca5,4,0,3735928559
299,0x0800f6c0,prvInitialiseNewTask_dup,0.447,0x20005732,16,0,3735928559
300,0x08006768,xTaskResumeAll_ret_dup,0.152,0x2000bbbe,64,0,3735928559
301,0x0801daec,vPortExitCritical,0.475,0x20002722,1,1,3735928559
302,0x080030a2,prvIdleTask,0.622,0x20000d7b,16,1,3735928559
303,0x080021e2,xTaskIncrementTick,0.944,0x20002176,128,1,3735928559
304,0x08009396,prvProcessReceivedCommands_dup,0.404,0x20000a4b,8,1,3735928559
305,0x08002072,xTaskIncrementTick,0.703,0x20004214,64,0,3735928559
306,0x08012b2e,crc32buf_ret_dup,0.722,0x2000cc5f,2,0,3735928559
307,memset,"<xStack>,",0.291,0x2000cfd0,64,0,3735928559
308,0x0801f43a,Reset_Handler,0.027,0x20001e16,16,1,3735928559
309,memset,"<xStack>,",0.781,0x20001c88,4,1,3735928559
310,0x0801f43c,Reset_Handler,0.023,0x20005de5,2,0,3735928559
311,0x080035ce,xQueueReceive_ret_dup,0.829,0x200075d7,4,0,3735928559
312,0x0800354c,xQueueReceive_ret_dup,0.212,0x200056dd,1,0,3735928559
313,0x0800d236,prvCheckTasksWaitingTermination_dup,0.623,0x20008dd0,4,0,3735928559
314,0x08003092,prvIdleTask,0.217,0x20006020,8,0,3735928559
315,0x0800d088,prvCheckTasksWaitingTermination_dup,0.884,0x200074b1,32,0,3735928559
316,0x08012a6a,crc32buf_ret_dup,0.839,0x200055af,1,0,3735928559
317,0x0800d236,prvCheckTasksWaitingTermination_dup,0.552,0x20000c0e,2,1,3735928559
318,0x0800a30a,xQueueGenericSend_ret_dup,0.428,0x20008ad7,64,0,3735928559
319,0x0800e848,vQueueAddToRegistry_dup,0.757,0x20006f4a,16,0,3735928559
320,0x080030be,prvIdleTask,0.522,0x2000bbe9,2,0,3735928559
321,0x08003088,prvIdleTask,0.16,0x20000ac7,64,1,3735928559
322,0x0800d108,prvCheckTasksWaitingTermination_dup,0.229,0x2000cf59,2,0,3735928559
323,0x080030c4,prvIdleTask,0.223,0x20009adb,64,0,3735928559
324,0x080030f6,prvIdleTask,0.314,0x2000ac60,1,0,3735928559
325,memset,"<xStack>,",0.932,0x2000cb17,4,0,3735928559
326,0x0800d0b2,prvCheckTasksWaitingTermination_dup,0.18,0x2000438e,128,0,3735928559
327,0x08003088,prvIdleTask,0.932,0x20001e9f,8,1,3735928559
328,memset,"<ucHeap+18832>,",0.132,0x200040bf,2,0,3735928559
329,0x08003140,prvIdleTask,0.511,0x200013f9,128,1,3735928559
330,0x080030fc,prvIdleTask,0.662,0x20004da0,8,0,3735928559
331,0x08002c46,vTaskSwitchContext,0.942,0x2000d7b2,2,0,3735928559
332,0x08012aa8,crc32buf_ret_dup,0.855,0x2000cace,128,0,3735928559
333,0x0800d0c0,prvCheckTasksWaitingTermination_dup,0.753,0x20000f92,128,1,3735928559
334,0x08004ea6,xTaskGetSchedulerState_ret_dup,0.22,0x20006f61,64,0,3735928559
